#---EXFOR Request #1063
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0083006 
#NOW            2022/01/17:06:16:58
#SUBENT         L0083006   20050713
#ENTRY          L0083      20050713
#AUTHOR1        J.Ahrens+
#YEAR           1972
#X4REF1         C,72SENDAI,213,1972
#REFERENCE1     Conf: Conf.Nucl.Structure Studies, Sendai, Japan, 1972, p.213 (1972)
#REACTION       13-AL-27(G,ABS),,SIG
#D4REAC         R0#
#C4Reaction     (G,ABS),SIG
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           256         3           12
 0.904       1.7         10.3        
 2.03        1.58        10.5        
 2.26        1.92        10.7        
 1.8         1.58        10.8        
 0.784       1.92        11.1        
 2.59        1.92        11.3        
 1.34        1.58        11.5        
 1.34        1.69        11.7        
 2.81        2.04        11.9        
 2.93        2.04        12.1        
 3.6         1.7         12.3        
 7.34        2.04        12.5        
 1.33        1.36        12.7        
 1.45        1.58        12.9        
 2.12        1.7         13.1        
 2.12        1.47        13.3        
 6.66        1.81        13.5        
 5.07        1.24        13.7        
 5.29        1.7         13.9        
 5.4         1.7         14.2        
 5.29        1.81        14.3        
 5.06        1.81        14.4        
 5.97        2.04        14.7        
 8.01        2.04        14.9        
 6.53        1.92        15.1        
 6.19        1.81        15.3        
 11.2        1.7         15.6        
 12.4        1.7         15.7        
 11.5        1.58        15.9        
 12.         2.04        16.1        
 16.         2.04        16.3        
 14.9        1.24        16.5        
 17.7        2.04        16.7        
 19.2        2.49        17.         
 18.7        1.47        17.1        
 20.4        2.26        17.3        
 15.5        1.47        17.5        
 19.8        2.04        17.7        
 22.9        1.81        17.9        
 23.         1.81        18.1        
 28.6        2.03        18.2        
 27.8        1.7         18.5        
 28.6        2.04        18.6        
 31.2        2.15        18.9        
 28.7        1.7         19.1        
 33.4        2.38        19.3        
 29.5        2.04        19.5        
 32.2        2.15        19.8        
 36.         2.26        19.9        
 36.6        1.81        20.1        
 38.6        2.15        20.3        
 38.4        2.49        20.5        
 40.1        2.38        20.7        
 39.3        2.38        20.9        
 37.3        2.38        21.1        
 41.         2.26        21.3        
 39.6        2.04        21.5        
 42.6        2.72        21.7        
 41.2        2.49        21.9        
 37.6        2.26        22.         
 35.         2.15        22.3        
 35.2        2.26        22.5        
 29.2        2.38        22.7        
 24.         3.4         22.9        
 27.8        2.38        23.1        
 26.         1.81        23.3        
 26.8        2.26        23.5        
 24.8        2.38        23.7        
 22.3        4.42        23.8        
 20.9        2.26        24.         
 23.2        2.38        24.3        
 22.2        2.04        24.4        
 21.4        1.58        24.6        
 20.6        3.06        24.9        
 21.4        2.26        25.1        
 20.1        2.49        25.3        
 18.9        2.38        25.4        
 21.5        2.26        25.6        
 15.4        6.23        25.8        
 18.9        2.49        26.1        
 20.         2.72        26.2        
 15.8        3.17        26.5        
 15.1        2.26        26.6        
 10.         2.72        26.8        
 17.4        2.15        27.1        
 19.5        3.17        27.3        
 19.9        2.49        27.4        
 17.7        3.17        27.7        
 20.9        3.28        27.8        
 20.         2.6         28.         
 19.1        2.15        28.3        
 12.7        2.83        28.4        
 15.1        2.72        28.6        
 14.3        2.49        28.8        
 16.6        2.26        29.1        
 12.6        3.17        29.2        
 15.9        2.15        29.4        
 12.2        2.04        29.6        
 17.1        1.81        29.8        
 11.7        2.26        30.         
 12.5        1.81        30.2        
 16.1        2.26        30.3        
 15.8        1.81        30.6        
 10.6        2.15        30.8        
 15.1        2.26        31.         
 13.6        2.72        31.2        
 14.4        2.15        31.4        
 14.7        2.04        31.6        
 13.6        2.94        31.9        
 10.3        2.04        32.         
 14.1        2.04        32.2        
 12.2        2.49        32.4        
 13.         2.6         32.6        
 7.64        2.6         32.8        
 12.1        2.26        33.         
 15.1        2.38        33.2        
 13.8        2.6         33.4        
 12.2        1.81        33.7        
 14.5        2.38        33.9        
 9.78        2.15        34.         
 9.1         2.83        34.2        
 14.8        2.6         34.4        
 10.8        1.92        34.6        
 17.1        2.6         34.9        
 6.72        2.49        35.         
 6.94        3.05        35.2        
 10.6        2.49        35.4        
 10.9        2.26        35.6        
