#---EXFOR Request #1057
#---EXFOR Standard Output---
#=============================================================================
#DATASET        K21850022
#NOW            2022/01/17:06:13:49
#SUBENT         K2185002   20121027
#ENTRY          K2185      20121027
#AUTHOR1        N.Mutsuro+
#YEAR           1962
#X4REF1         J,JPJ,17,(10),1672,196210
#REFERENCE1     Jour: Journal of the Physical Society of Japan, Vol.17, Issue.10, p.1672 (1962)
#REACTION       13-AL-27(G,N)13-AL-26,,SIG,,BRS
#D4REAC         R0#
#C4Reaction     (G,N),SIG,,BRS
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        2
#HEADER         7           2           12
!DATA        EN          
!MB          MEV         
!Y.Value     X1.Value    
!0.1         1.1         
!variable    variable    
!0.001       1000000.0   
!B           EV          
#DATA           45          2           12
 21.2        20.9        
 12.9        21.2        
 6.4         21.6        
 9.5         21.8        
 22.4        21.9        
 24.8        22.1        
 23.9        22.4        
 19.5        22.7        
 12.1        23.         
 12.1        23.2        
 11.5        23.5        
 9.1         23.7        
 6.          24.1        
#ENDDATA        13          2
#Legend         2           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     K21850022
#=============================================================================
#DATASET        L0010005 
#NOW            2022/01/17:06:13:49
#SUBENT         L0010005   20100405
#ENTRY          L0010      20100405
#AUTHOR1        S.C.Fultz+
#YEAR           1966
#X4REF1         J,PR,143,790,196603
#REFERENCE1     Jour: Physical Review, Vol.143, p.790 (1966)
#REACTION       (13-AL-27(G,N)13-AL-26,,SIG)+(13-AL-27(G,N+P)12-MG-25,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           160         3           12
 0.13        0.05        12.888      
 0.15        0.05        13.043      
 0.15        0.05        13.197      
 0.64        0.09        13.352      
 0.49        0.1         13.507      
 0.96        0.09        13.662      
 1.26        0.05        13.817      
 1.08        0.12        13.894      
 0.78        0.15        13.972      
 0.68        0.05        14.049      
 0.77        0.05        14.127      
 1.06        0.15        14.204      
 1.14        0.05        14.281      
 1.25        0.2         14.359      
 1.12        0.05        14.436      
 1.7         0.11        14.514      
 1.42        0.05        14.591      
 1.63        0.05        14.668      
 1.23        0.15        14.746      
 1.31        0.15        14.823      
 1.45        0.13        14.901      
 1.55        0.14        14.978      
 1.59        0.05        15.056      
 1.79        0.1         15.133      
 1.58        0.12        15.21       
 2.7         0.16        15.288      
 2.5         0.09        15.365      
 2.65        0.17        15.443      
 2.54        0.11        15.52       
 3.13        0.16        15.598      
 3.65        0.19        15.675      
 3.46        0.05        15.752      
 3.54        0.16        15.83       
 3.48        0.1         15.907      
 3.94        0.15        15.985      
 4.56        0.16        16.062      
 4.68        0.15        16.14       
 5.02        0.12        16.217      
 4.94        0.05        16.294      
 5.23        0.11        16.372      
 5.23        0.15        16.449      
 4.9         0.2         16.527      
 4.95        0.05        16.604      
 4.52        0.16        16.682      
 4.68        0.05        16.759      
 5.4         0.17        16.836      
 5.71        0.25        16.953      
 5.4         0.15        17.069      
 5.5         0.15        17.185      
 5.45        0.16        17.301      
 6.28        0.18        17.378      
 7.08        0.15        17.456      
 7.5         0.15        17.533      
 7.9         0.22        17.611      
 8.32        0.15        17.688      
 8.55        0.18        17.765      
 8.65        0.2         17.92       
 8.69        0.2         17.998      
 9.22        0.19        18.075      
 9.63        0.25        18.153      
 10.62       0.28        18.23       
 10.4        0.18        18.307      
 10.06       0.15        18.385      
 9.7         0.18        18.462      
 9.93        0.18        18.54       
 9.79        0.15        18.617      
 9.73        0.23        18.695      
 10.17       0.3         18.849      
 10.71       0.3         18.927      
 10.75       0.25        19.004      
 10.18       0.26        19.082      
 10.3        0.25        19.237      
 10.5        0.24        19.391      
 10.49       0.28        19.546      
 12.3        0.31        19.701      
 12.35       0.31        19.856      
 12.5        0.3         20.011      
 12.65       0.35        20.166      
 12.26       0.25        20.321      
 11.9        0.3         20.475      
 11.89       0.3         20.63       
 12.43       0.34        20.785      
 13.59       0.4         20.94       
 13.43       0.35        21.095      
 14.54       0.35        21.25       
 14.89       0.35        21.404      
 13.2        0.45        21.482      
 13.02       0.35        21.559      
 12.07       0.5         21.637      
 13.66       0.45        21.714      
 13.96       0.35        21.869      
 13.73       0.4         22.024      
 13.3        0.35        22.179      
