#---EXFOR Request #1077
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0044002 
#NOW            2022/01/17:06:25:54
#SUBENT         L0044002   970129
#ENTRY          L0044      970129
#AUTHOR1        U.Kneissl+
#YEAR           1976
#X4REF1         J,NP/A,264,30,76
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.264, p.30 (1976)
#REACTION       (5-B-10(G,N)5-B-9,,SIG)+(5-B-10(G,N+P)4-BE-8,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN          EN-ERR      
!MB          MB          MEV         PER-CENT    
!Y.Value     Y.Err+-     X1.Value    X1.Err+-    
!0.1         0.911       1.1         1.911       
!variable    variable    variable    const       
!0.001       0.001       1000000.0   1.0         
!B           B           EV          PER-CENT    
#DATA           94          4           12
 1.          0.84        10.522      0.5         
 0.4         0.833       11.001      0.5         
 1.54        0.74        11.499      0.5         
 1.67        0.666       11.998      0.5         
 0.41        0.655       12.403      0.5         
 1.8         0.768       12.754      0.5         
 0.61        0.72        12.994      0.5         
 1.36        0.693       13.252      0.5         
 1.09        0.64        13.492      0.5         
 1.76        0.613       14.009      0.5         
 1.31        0.577       14.249      0.5         
 2.08        0.57        14.507      0.5         
 2.19        0.562       14.747      0.5         
 1.98        0.532       15.005      0.5         
 1.78        0.502       15.245      0.5         
 1.62        0.492       15.504      0.5         
 2.45        0.499       15.744      0.5         
 2.27        0.462       16.002      0.5         
 2.88        0.47        16.242      0.5         
 2.22        0.467       16.556      0.5         
 2.61        0.451       16.759      0.5         
 2.44        0.447       16.999      0.5         
 2.83        0.444       17.257      0.5         
 2.15        0.441       17.497      0.5         
 2.22        0.449       17.755      0.5         
 2.5         0.44        17.995      0.5         
 2.6         0.402       18.254      0.5         
 2.61        0.407       18.494      0.5         
 3.41        0.391       18.752      0.5         
 3.73        0.394       18.992      0.5         
 4.03        0.391       19.251      0.5         
 4.34        0.399       19.491      0.5         
 4.6         0.396       19.749      0.5         
 4.34        0.382       20.007      0.5         
 4.47        0.424       20.247      0.5         
 4.71        0.4         20.506      0.5         
 5.05        0.394       20.746      0.5         
 4.02        0.388       21.004      0.5         
 3.99        0.398       21.244      0.5         
 4.54        0.386       21.503      0.5         
 4.69        0.372       21.743      0.5         
 5.55        0.342       22.001      0.5         
 5.13        0.36        22.241      0.5         
 5.          0.357       22.5        0.5         
 4.95        0.363       22.758      0.5         
 4.95        0.353       22.998      0.5         
 4.81        0.358       23.257      0.5         
 4.38        0.354       23.57       0.5         
 4.22        0.34        23.755      0.5         
 4.28        0.337       23.995      0.5         
 4.64        0.338       24.253      0.5         
 3.99        0.337       24.457      0.5         
 4.25        0.324       24.752      0.5         
 4.7         0.351       24.992      0.5         
 4.74        0.301       25.306      0.5         
 3.93        0.298       25.564      0.5         
 4.27        0.29        25.804      0.5         
 4.4         0.282       26.081      0.5         
 4.29        0.284       26.321      0.5         
 4.79        0.291       26.58       0.5         
 4.79        0.722       26.801      0.5         
 3.2         0.752       27.06       0.5         
 3.3         0.756       27.3        0.5         
 3.3         0.754       27.558      0.5         
 2.72        0.773       27.817      0.5         
 4.05        0.754       28.057      0.5         
 3.88        0.739       28.315      0.5         
