#---EXFOR Request #1050
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0010002 
#NOW            2022/01/17:06:06:20
#SUBENT         L0010002   20100405
#ENTRY          L0010      20100405
#AUTHOR1        S.C.Fultz+
#YEAR           1966
#X4REF1         J,PR,143,790,196603
#REFERENCE1     Jour: Physical Review, Vol.143, p.790 (1966)
#REACTION       (6-C-12(G,N)6-C-11,,SIG)+(6-C-12(G,N+P)5-B-10,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           165         3           12
 0.05        0.02        18.153      
 0.05        0.02        18.307      
 0.07        0.03        18.462      
 0.02        0.02        18.617      
 0.1         0.05        18.772      
 0.07        0.03        18.927      
 0.2         0.05        19.082      
 0.15        0.05        19.237      
 0.35        0.05        19.391      
 0.3         0.05        19.546      
 0.4         0.05        19.701      
 0.5         0.05        19.856      
 0.65        0.07        20.011      
 0.75        0.05        20.166      
 1.          0.1         20.321      
 1.15        0.1         20.475      
 1.45        0.1         20.63       
 1.8         0.1         20.785      
 2.52        0.1         20.94       
 2.9         0.15        21.095      
 3.05        0.1         21.172      
 3.5         0.1         21.25       
 3.9         0.15        21.327      
 4.2         0.15        21.404      
 4.85        0.15        21.482      
 5.4         0.15        21.559      
 5.7         0.15        21.637      
 5.7         0.15        21.714      
 6.05        0.15        21.792      
 6.4         0.1         21.869      
 6.62        0.2         21.946      
 6.77        0.15        22.024      
 6.7         0.15        22.101      
 6.8         0.15        22.179      
 6.48        0.15        22.256      
 6.45        0.15        22.334      
 6.62        0.15        22.411      
 6.5         0.15        22.488      
 6.42        0.2         22.566      
 6.92        0.2         22.643      
 6.85        0.2         22.721      
 7.22        0.2         22.798      
 7.17        0.2         22.876      
 7.05        0.2         22.953      
 7.05        0.2         23.03       
 6.8         0.2         23.108      
 6.75        0.2         23.185      
 6.95        0.2         23.263      
 6.4         0.2         23.34       
 6.7         0.2         23.418      
 6.62        0.2         23.495      
 6.52        0.2         23.572      
 6.3         0.2         23.65       
 5.95        0.2         23.727      
 5.7         0.2         23.805      
 5.4         0.2         23.882      
 4.7         0.2         23.959      
 4.9         0.2         24.037      
 4.7         0.2         24.114      
 4.5         0.2         24.192      
 4.63        0.2         24.23       
 4.18        0.2         24.269      
 3.86        0.2         24.347      
 4.          0.2         24.424      
 3.72        0.2         24.501      
 3.47        0.2         24.579      
 3.47        0.2         24.656      
 3.35        0.2         24.734      
 3.37        0.2         24.811      
 3.59        0.2         24.889      
 3.34        0.2         24.966      
 3.42        0.2         25.043      
 3.6         0.2         25.121      
 3.95        0.1         25.198      
 3.82        0.15        25.276      
 4.2         0.1         25.353      
 4.05        0.2         25.431      
 3.75        0.2         25.508      
 4.03        0.2         25.585      
 3.9         0.2         25.663      
 4.01        0.2         25.74       
 3.7         0.2         25.818      
 3.7         0.2         25.895      
 3.57        0.2         25.973      
 3.2         0.2         26.05       
 3.48        0.2         26.127      
 3.12        0.2         26.205      
 3.08        0.2         26.282      
 2.86        0.2         26.36       
 2.7         0.2         26.437      
 2.98        0.2         26.515      
 3.          0.2         26.592      
 2.85        0.2         26.669      
 2.9         0.2         26.747      
 2.6         0.2         26.824      
 2.68        0.2         26.902      
 2.95        0.2         26.979      
 2.7         0.2         27.056      
 2.57        0.2         27.134      
 2.62        0.2         27.211      
 2.37        0.2         27.289      
 2.45        0.2         27.366      
 2.56        0.2         27.444      
 2.64        0.2         27.521      
 2.55        0.2         27.598      
 2.55        0.2         27.676      
 2.75        0.2         27.753      
 2.          0.2         27.831      
 2.3         0.2         27.908      
 2.9         0.2         27.986      
 2.4         0.15        28.063      
 2.15        0.15        28.14       
 2.07        0.15        28.218      
 2.26        0.15        28.295      
 2.1         0.1         28.373      
 2.          0.15        28.45       
 1.8         0.15        28.528      
 2.54        0.15        28.605      
 2.2         0.15        28.682      
 2.1         0.15        28.837      
 2.          0.15        28.992      
 1.92        0.15        29.147      
 1.6         0.15        29.302      
 2.12        0.15        29.457      
 1.66        0.15        29.612      
 1.92        0.15        29.766      
 2.22        0.15        29.921      
 2.4         0.15        30.076      
 2.4         0.2         30.231      
 2.17        0.2         30.386      
 2.17        0.2         30.541      
 2.02        0.2         30.695      
 2.13        0.2         30.85       
 2.2         0.2         31.005      
 1.8         0.2         31.16       
 1.52        0.25        31.315      
 1.45        0.25        31.47       
 1.27        0.25        31.625      
 1.22        0.25        31.779      
 1.27        0.25        31.934      
 0.95        0.25        32.089      
 1.26        0.25        32.244      
 0.92        0.25        32.399      
 1.38        0.25        32.554      
 1.15        0.35        32.709      
 0.82        0.4         32.863      
 0.71        0.5         33.018      
 1.25        0.5         33.173      
 1.68        0.5         33.328      
 0.75        0.5         33.483      
 0.66        0.5         33.638      
 1.3         0.5         33.947      
 1.48        0.5         34.257      
 1.73        0.5         34.412      
 0.98        0.3         34.567      
 1.91        0.5         34.722      
 1.1         0.4         34.876      
 1.68        0.3         35.186      
 1.43        0.4         35.496      
 1.43        0.4         35.806      
 1.43        0.5         36.115      
 0.32        0.5         36.425      
 0.71        0.6         36.735      
 1.12        0.6         37.044      
 0.97        0.6         37.354      
#ENDDATA        165         3
#Legend         3           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     L0010002 
#=============================================================================
#DATASET        L0041002 
#NOW            2022/01/17:06:06:20
#SUBENT         L0041002   970129
#ENTRY          L0041      970129
#AUTHOR1        U.Kneissl+
#YEAR           1975
#X4REF1         J,NIM,127,1,75
#REFERENCE1     Jour: Nuclear Instrum.and Methods in Physics Res., Vol.127, p.1 (1975)
#REACTION       (6-C-12(G,N)6-C-11,,SIG)+(6-C-12(G,N+P)5-B-10,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR1   DATA-ERR2   EN          
!MB          MB          PER-CENT    MEV         
!Y.Value     Y.pErr+-    Y.pErr+-    X1.Value    
!0.1         0.955       0.955       1.1         
!variable    variable    const       variable    
!0.001       0.001       1.0         1000000.0   
!B           B           PER-CENT    EV          
#DATA           68          4           12
 0.15        0.182       10.         19.029      
 0.32        0.178       10.         19.306      
 0.29        0.159       10.         19.675      
 0.49        0.172       10.         20.044      
 1.16        0.171       10.         20.34       
 2.62        0.174       10.         20.635      
 2.28        0.17        10.         20.727      
 3.35        0.175       10.         21.041      
 4.1         0.174       10.         21.189      
 4.27        0.218       10.         21.337      
 5.46        0.21        10.         21.54       
 6.28        0.255       10.         21.65       
 6.87        0.2         10.         21.743      
 7.16        0.215       10.         21.89       
 7.62        0.223       10.         21.983      
 7.82        0.219       10.         22.057      
 7.53        0.223       10.         22.13       
 7.57        0.217       10.         22.204      
 7.85        0.222       10.         22.278      
 7.56        0.19        10.         22.352      
 7.89        0.221       10.         22.555      
 8.14        0.222       10.         22.647      
 8.35        0.194       10.         22.74       
 8.29        0.211       10.         22.906      
 8.31        0.19        10.         23.053      
 8.47        0.21        10.         23.201      
 8.73        0.192       10.         23.367      
 8.54        0.211       10.         23.552      
 7.78        0.192       10.         23.737      
 7.53        0.207       10.         23.921      
 6.79        0.196       10.         24.069      
 6.09        0.204       10.         24.217      
 5.5         0.196       10.         24.364      
 4.45        0.194       10.         24.567      
 4.94        0.194       10.         24.752      
 4.8         0.19        10.         24.9        
 4.51        0.189       10.         25.066      
 4.98        0.191       10.         25.214      
 5.31        0.175       10.         25.361      
 5.48        0.188       10.         25.472      
 5.32        0.189       10.         25.564      
 5.05        0.19        10.         25.675      
 4.85        0.17        10.         25.767      
 4.5         0.189       10.         25.915      
 4.68        0.164       10.         26.063      
 4.25        0.165       10.         26.21       
 4.57        0.161       10.         26.358      
 3.77        0.164       10.         26.561      
 3.57        0.158       10.         26.764      
 3.09        0.161       10.         26.931      
 3.09        0.159       10.         27.097      
 2.97        0.161       10.         27.244      
 3.21        0.157       10.         27.374      
 2.7         0.163       10.         27.466      
 3.17        0.156       10.         27.761      
 2.14        0.16        10.         27.909      
 3.18        0.156       10.         28.075      
 1.58        0.143       10.         28.352      
 2.14        0.147       10.         28.666      
 2.5         0.146       10.         29.072      
 2.88        0.148       10.         29.663      
 3.56        0.147       10.         30.069      
 2.86        0.149       10.         30.383      
 2.81        0.15        10.         30.66       
 2.62        0.152       10.         31.066      
 3.05        0.152       10.         31.38       
 2.34        0.15        10.         31.657      
 2.26        0.15        10.         32.063      
#ENDDATA        68          4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.955       : Y.pErr+-    
#+   Type      : 21          : 0.955       
#+   Header    : DATA-ERR1   : [Uncertainty: +-partial error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Error       : constant    
