#---EXFOR Request #1051
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0117003 
#NOW            2022/01/17:06:07:45
#SUBENT         L0117003   20060412
#ENTRY          L0117      20060412
#AUTHOR1        R.Carchon+
#YEAR           1976
#X4REF1         J,PR/C,14,456,1976
#REFERENCE1     Jour: Physical Review, Part C, Nuclear Physics, Vol.14, p.456 (1976)
#REACTION       6-C-12(G,P)5-B-11,,SIG,,BRS
#D4REAC         R0#
#C4Reaction     (G,P),SIG,,BRS
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        ERR-T       EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           66          3           12
 4.28        0.793       20.         
 3.25        0.751       20.2        
 2.79        0.667       20.4        
 4.49        0.751       20.5        
 5.59        0.688       20.6        
 5.07        0.605       20.8        
 7.45        0.605       20.9        
 8.94        0.605       21.1        
 8.06        0.584       21.2        
 8.75        0.522       21.4        
 10.1        0.459       21.5        
 10.4        0.459       21.7        
 11.5        0.48        21.8        
 12.7        0.417       22.         
 12.         0.417       22.2        
 12.4        0.396       22.3        
 13.3        0.396       22.4        
 12.3        0.459       22.6        
 11.9        0.459       22.8        
 11.4        0.48        22.9        
 10.4        0.48        23.1        
 10.8        0.396       23.2        
 10.2        0.375       23.4        
 10.3        0.334       23.5        
 9.01        0.375       23.7        
 8.13        0.354       23.8        
 7.07        0.292       24.         
 6.34        0.354       24.1        
 5.          0.334       24.3        
 5.04        0.313       24.4        
 4.67        0.292       24.6        
 5.11        0.271       24.7        
 4.82        0.292       24.9        
 5.34        0.146       25.         
 5.53        0.25        25.2        
 5.09        0.396       25.3        
 4.44        0.187       25.5        
 4.92        0.271       25.6        
 4.49        0.25        25.8        
 4.17        0.229       25.9        
 4.01        0.292       26.1        
 3.97        0.208       26.2        
 3.4         0.271       26.4        
 3.57        0.229       26.5        
 2.67        0.313       26.7        
 2.88        0.208       26.8        
 2.57        0.271       27.         
 2.55        0.271       27.1        
 2.72        0.229       27.3        
 2.11        0.208       27.4        
 2.03        0.25        27.6        
 1.91        0.208       27.7        
 2.09        0.271       27.9        
 1.97        0.229       28.1        
 2.03        0.25        28.2        
 2.18        0.229       28.3        
 2.06        0.25        28.5        
 1.68        0.187       28.6        
 1.76        0.25        28.8        
 1.39        0.229       28.9        
 1.26        0.208       29.1        
 1.45        0.292       29.2        
 1.16        0.229       29.4        
 0.728       0.271       29.5        
 0.249                   29.7        
 0.375       0.25        29.8        
#ENDDATA        66          3
#Legend         3           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : ERR-T       : [Uncertainty: +-error]
#+   Units     : MB          : [millibarns]
#+   BasicUnits: B           : Conv.Factor=0.001
#
#COL-3         : Data        : variable    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : MEV         : [MeV]
#+   BasicUnits: EV          : Conv.Factor=1.e+06
#
#ENDDATASET     L0117003 
#=============================================================================
#DATASET        L0226002 
#NOW            2022/01/17:06:07:45
#SUBENT         L0226002   20180226
#ENTRY          L0226      20180226
#AUTHOR1        D.E.Frederick+
#YEAR           1968
#X4REF1         J,PR,176,1177,1968
#REFERENCE1     Jour: Physical Review, Vol.176, p.1177 (1968)
#REACTION       6-C-12(G,P)5-B-11,,SIG,,REL
#D4REAC         R0#
#C4Reaction     (G,P),SIG,,REL
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [ARB-UNITS]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        ERR-S       EN          
!ARB-UNITS   ARB-UNITS   MEV         
!Y.Value     Y.sErr+-    X1.Value    
!0.1         0.944       1.1         
!variable    variable    variable    
!1.0         1.0         1000000.0   
!NO-DIM      NO-DIM      EV          
#DATA           183         3           12
 1.288                   19.08       
 1.413                   19.104      
 1.476                   19.178      
 1.538                   19.239      
 1.613                   19.276      
 1.476                   19.3        
 1.563                   19.35       
 1.651                   19.423      
 1.688                   19.472      
 1.851                   19.509      
 1.863                   19.582      
 2.001                   19.619      
 1.989                   19.656      
 2.089                   19.656      
 2.076                   19.717      
 2.214                   19.779      
 2.376                   19.815      
 2.389                   19.852      
 2.614                   19.864      
 2.564                   19.926      
 2.902                   19.962      
 2.789                   20.024      
 2.889                   20.073      
 3.102                   20.122      
 3.277                   20.183      
 3.377                   20.232      
 3.653                   20.269      
 3.728                   20.306      
 3.715                   20.391      
 4.041                   20.416      
 4.103                   20.477      
 4.166                   20.526      
 4.341                   20.575      
