#---EXFOR Request #1068
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0048002 
#NOW            2022/01/17:06:22:08
#SUBENT         L0048002   970129
#ENTRY          L0048      970129
#AUTHOR1        J.W.Jury+
#YEAR           1979
#X4REF1         J,PR/C,19,1684,7905
#REFERENCE1     Jour: Physical Review, Part C, Nuclear Physics, Vol.19, p.1684 (1979)
#REACTION       (6-C-13(G,N)6-C-12,,SIG)+(6-C-13(G,N+P)5-B-11,,SIG)
#D4REAC         (R0#)+(R1#)
#C4Reaction     ((G,N),SIG)+((G,N+P),SIG)
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        3
#HEADER         7           3           12
!DATA        DATA-ERR    EN          
!MB          MB          MEV         
!Y.Value     Y.Err+-     X1.Value    
!0.1         0.911       1.1         
!variable    variable    variable    
!0.001       0.001       1000000.0   
!B           B           EV          
#DATA           177         3           12
 0.44        0.04        7.596       
 0.7         0.04        7.646       
 1.          0.05        7.769       
 1.04        0.05        7.893       
 0.82        0.04        8.016       
 0.87        0.04        8.14        
 0.53        0.03        8.263       
 0.51        0.03        8.386       
 0.31        0.03        8.51        
 0.44        0.03        8.633       
 0.58        0.04        8.757       
 0.86        0.05        8.88        
 0.76        0.05        9.003       
 0.68        0.06        9.127       
 0.66        0.06        9.251       
 0.69        0.07        9.374       
 0.73        0.07        9.497       
 0.85        0.07        9.62        
 0.96        0.07        9.744       
 0.97        0.07        9.868       
 1.17        0.08        9.991       
 1.08        0.08        10.114      
 1.06        0.07        10.237      
 1.25        0.08        10.362      
 1.5         0.09        10.485      
 1.41        0.09        10.608      
 1.74        0.1         10.731      
 2.04        0.1         10.854      
 2.43        0.11        10.979      
 2.47        0.14        11.102      
 2.17        0.14        11.225      
 1.94        0.15        11.348      
 2.07        0.15        11.472      
 2.53        0.16        11.596      
 2.58        0.17        11.719      
 2.55        0.16        11.842      
 2.88        0.17        11.965      
 2.86        0.17        12.089      
 2.9         0.11        12.213      
 3.01        0.17        12.336      
 2.95        0.17        12.459      
 3.03        0.13        12.583      
 3.          0.12        12.706      
 3.28        0.16        12.83       
 3.3         0.17        12.953      
 3.15        0.16        13.076      
 3.6         0.17        13.2        
 3.67        0.17        13.323      
 3.74        0.2         13.447      
 3.76        0.2         13.57       
 3.88        0.2         13.694      
 3.94        0.2         13.817      
 3.63        0.2         13.94       
 3.57        0.19        14.064      
 3.34        0.2         14.187      
 3.11        0.19        14.311      
 2.67        0.18        14.434      
 2.79        0.18        14.557      
 2.47        0.17        14.681      
 2.69        0.17        14.805      
 3.62        0.17        14.928      
 4.57        0.17        15.051      
 4.1         0.11        15.174      
 2.91        0.17        15.298      
 2.86        0.18        15.422      
 2.55        0.13        15.545      
 2.34        0.19        15.668      
 2.46        0.19        15.791      
 2.17        0.18        15.916      
 2.44        0.18        16.039      
