#---EXFOR Request #1067
#---EXFOR Standard Output---
#=============================================================================
#DATASET        L0133002 
#NOW            2022/01/17:06:21:26
#SUBENT         L0133002   20210831
#ENTRY          L0133      20210831
#AUTHOR1        D.Zubanov+
#YEAR           1983
#X4REF1         J,PR/C,27,1957,1983
#REFERENCE1     Jour: Physical Review, Part C, Nuclear Physics, Vol.27, p.1957 (1983)
#REACTION       6-C-13(G,P)5-B-12,,SIG,,BRS
#D4REAC         R0#
#C4Reaction     (G,P),SIG,,BRS
#ReactionType   CS
#Quantity       Cross section
#IndVarFamCode  [0 2        ]
#ExpectedUnits  [B]
#xVariables     1
#+              Y = Y(X1)
#COLUMNS        4
#HEADER         7           4           12
!DATA        ERR-S       ERR-SYS     EN          
!MB          MB          PER-CENT    MEV         
!Y.Value     Y.sErr+-    Y.pErr+-    X1.Value    
!0.1         0.944       0.955       1.1         
!variable    variable    const       variable    
!0.001       0.001       1.0         1000000.0   
!B           B           PER-CENT    EV          
#DATA           106         4           12
 0.143       0.144       13.         17.7        
 0.0903      0.144       13.         17.8        
 0.103       0.118       13.         17.9        
 0.155       0.104       13.         18.         
 0.0636      0.104       13.         18.1        
 0.273       0.17        13.         18.2        
 0.391       0.17        13.         18.3        
 0.469       0.157       13.         18.4        
 0.679       0.183       13.         18.5        
 0.784       0.157       13.         18.6        
 0.469       0.131       13.         18.7        
 0.377       0.17        13.         18.8        
 0.337       0.17        13.         18.9        
 0.127       0.131       13.         19.         
 0.114       0.17        13.         19.1        
 0.127       0.131       13.         19.2        
 0.389       0.17        13.         19.3        
 0.441       0.183       13.         19.4        
 0.809       0.209       13.         19.5        
 0.861       0.196       13.         19.6        
 1.12        0.17        13.         19.6        
 0.808       0.183       13.         19.7        
 1.32        0.157       13.         19.8        
 1.53        0.17        13.         19.9        
 1.5         0.157       13.         20.         
 2.04        0.183       13.         20.1        
 1.77        0.209       13.         20.2        
 2.77        0.209       13.         20.3        
 2.81        0.223       13.         20.4        
 3.26        0.183       13.         20.5        
 3.54        0.209       13.         20.6        
 3.05        0.209       13.         20.7        
 3.16        0.209       13.         20.8        
 2.8         0.21        13.         20.9        
